tau_min,mu_min,min_delta,gamma_y,gamma_z,line_search_factor,line_search_min_step_size,s0_cap,z0_init,wall_time_s,load_state_max_abs,load_state_rmse,load_control_max_abs,load_control_rmse,cable_state_max_abs,cable_state_rmse,subp2_steps,subp2_nonconv,subp2_max_iters,subp2_max_eq_inf,subp2_max_ineq_vio,subp2_fallback_count,subp2_bestfeas_count
0.99,1e-08,0.001,0.0001,0.01,0.2,1e-10,0.5,0.001,39.110695124953054,1.2335015584299553e-05,2.9228416338220878e-06,6.18476214677699e-05,3.17422888795457e-05,0.0003089325244318604,4.454089396412976e-05,6,6,81,0.0008778100937785098,0.237581670046055,0,6
0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-10,0.5,0.001,39.27666766301263,1.2335015584299553e-05,2.9228416338220878e-06,6.18476214677699e-05,3.17422888795457e-05,0.0003089325244318604,4.454089396412976e-05,6,6,81,0.0008778100937785098,0.237581670046055,0,6
0.99,1e-08,1e-05,0.0001,0.01,0.2,1e-10,0.5,0.001,46.6408133849618,1.2335015584299553e-05,2.9228416338220878e-06,6.18476214677699e-05,3.17422888795457e-05,0.0003089325244318604,4.454089396412976e-05,6,6,81,0.0008778100937785098,0.237581670046055,0,6
0.99,1e-08,0.0001,0.0001,0.01,0.05,1e-10,0.5,0.001,37.82083610200789,1.2335549263029898e-05,2.9226005525246506e-06,6.18582751146235e-05,3.174588564945715e-05,0.00030894655528831624,4.4546472194842624e-05,6,6,81,0.0008781782880722504,0.2375756043857769,0,6
0.99,1e-08,1e-05,0.0001,0.01,0.05,1e-10,0.5,0.001,39.13042499200674,1.2335549263029898e-05,2.9226005525246506e-06,6.18582751146235e-05,3.174588564945715e-05,0.00030894655528831624,4.4546472194842624e-05,6,6,81,0.0008781782880722504,0.2375756043857769,0,6
0.99,1e-08,0.001,0.0001,0.01,0.05,1e-10,0.5,0.001,39.879843964998145,1.2335549263029898e-05,2.9226005525246506e-06,6.18582751146235e-05,3.174588564945715e-05,0.00030894655528831624,4.4546472194842624e-05,6,6,81,0.0008781782880722504,0.2375756043857769,0,6
0.99,1e-08,0.001,0.0001,0.01,0.1,1e-10,0.5,0.001,35.85937696299516,1.2335418301458863e-05,2.923031670598683e-06,6.18555268125931e-05,3.1750777746965625e-05,0.0003089422359438144,4.454494409091862e-05,6,6,81,0.0008780841432017988,0.23759379806922326,0,6
0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-10,0.5,0.001,37.50841552898055,1.2335418301458863e-05,2.923031670598683e-06,6.18555268125931e-05,3.1750777746965625e-05,0.0003089422359438144,4.454494409091862e-05,6,6,81,0.0008780841432017988,0.23759379806922326,0,6
0.99,1e-08,1e-05,0.0001,0.01,0.1,1e-10,0.5,0.001,40.031167683016974,1.2335418301458863e-05,2.923031670598683e-06,6.18555268125931e-05,3.1750777746965625e-05,0.0003089422359438144,4.454494409091862e-05,6,6,81,0.0008780841432017988,0.23759379806922326,0,6
