feas,eq_inf,ineq_vio,orig_max_abs,orig_rmse,converged,finite,iterations,tau_min,mu_min,min_delta,gamma_y,gamma_z,line_search_factor,line_search_min_step_size,s0_cap,z0_init
0.00041473606190445267,0.00041473606190445267,0.0,0.004018024392654279,0.0007120649417865705,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-10,0.5,0.001
0.00041473606190445267,0.00041473606190445267,0.0,0.004018024392654279,0.0007120649417865705,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-12,0.5,0.001
0.00041473606190445267,0.00041473606190445267,0.0,0.004018024392654279,0.0007120649417865705,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-10,0.5,0.001
0.00041473606190445267,0.00041473606190445267,0.0,0.004018024392654279,0.0007120649417865705,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-12,0.5,0.001
0.0012722252448930903,0.0012722252448930903,0.0,0.0037146548483477926,0.0008487719030091171,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.2,1e-10,0.5,0.001
0.0012722252448930903,0.0012722252448930903,0.0,0.0037146548483477926,0.0008487719030091171,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.2,1e-12,0.5,0.001
0.0012722252448930903,0.0012722252448930903,0.0,0.0037146548483477926,0.0008487719030091171,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.1,1e-10,0.5,0.001
0.0012722252448930903,0.0012722252448930903,0.0,0.0037146548483477926,0.0008487719030091171,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.1,1e-12,0.5,0.001
0.0014152051642699615,0.0014152051642699615,0.0,0.00716816157054212,0.0013174702132844756,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-10,1.0,0.001
0.0014152051642699615,0.0014152051642699615,0.0,0.00716816157054212,0.0013174702132844756,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-12,1.0,0.001
0.0014152051642699615,0.0014152051642699615,0.0,0.00716816157054212,0.0013174702132844756,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-10,1.0,0.001
0.0014152051642699615,0.0014152051642699615,0.0,0.00716816157054212,0.0013174702132844756,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-12,1.0,0.001
0.0018058611092266474,0.0018058611092266474,0.0,0.006776778374917136,0.001397620588284514,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.2,1e-10,1.0,0.001
0.0018058611092266474,0.0018058611092266474,0.0,0.006776778374917136,0.001397620588284514,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.2,1e-12,1.0,0.001
0.0018058611092266474,0.0018058611092266474,0.0,0.006776778374917136,0.001397620588284514,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.1,1e-10,1.0,0.001
0.0018058611092266474,0.0018058611092266474,0.0,0.006776778374917136,0.001397620588284514,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.1,1e-12,1.0,0.001
0.0014590980219191252,0.0014590980219191252,0.0,0.008081642659527655,0.0018313002619939455,True,True,6,0.99,1e-08,0.0001,0.01,0.0001,0.2,1e-10,0.5,0.01
0.0014590980219191252,0.0014590980219191252,0.0,0.008081642659527655,0.0018313002619939455,True,True,6,0.99,1e-08,0.0001,0.01,0.0001,0.2,1e-12,0.5,0.01
0.0014590980219191252,0.0014590980219191252,0.0,0.008081642659527655,0.0018313002619939455,True,True,6,0.99,1e-08,0.0001,0.01,0.0001,0.1,1e-10,0.5,0.01
0.0014590980219191252,0.0014590980219191252,0.0,0.008081642659527655,0.0018313002619939455,True,True,6,0.99,1e-08,0.0001,0.01,0.0001,0.1,1e-12,0.5,0.01
0.0002151653129569553,0.0002151653129569553,0.0,0.009883993623708592,0.0020270016682188237,True,True,2,0.99,1e-08,0.0001,0.0001,0.0001,0.2,1e-10,0.5,0.001
0.0002151653129569553,0.0002151653129569553,0.0,0.009883993623708592,0.0020270016682188237,True,True,2,0.99,1e-08,0.0001,0.0001,0.0001,0.2,1e-12,0.5,0.001
0.0002151653129569553,0.0002151653129569553,0.0,0.009883993623708592,0.0020270016682188237,True,True,2,0.99,1e-08,0.0001,0.0001,0.0001,0.1,1e-10,0.5,0.001
0.0002151653129569553,0.0002151653129569553,0.0,0.009883993623708592,0.0020270016682188237,True,True,2,0.99,1e-08,0.0001,0.0001,0.0001,0.1,1e-12,0.5,0.001
0.0013131987373589116,0.0013131987373589116,0.0,0.009546481656703687,0.00203156324373128,True,True,2,0.99,1e-08,0.0001,0.01,0.0001,0.2,1e-10,0.5,0.001
0.0013131987373589116,0.0013131987373589116,0.0,0.009546481656703687,0.00203156324373128,True,True,2,0.99,1e-08,0.0001,0.01,0.0001,0.2,1e-12,0.5,0.001
0.0013131987373589116,0.0013131987373589116,0.0,0.009546481656703687,0.00203156324373128,True,True,2,0.99,1e-08,0.0001,0.01,0.0001,0.1,1e-10,0.5,0.001
0.0013131987373589116,0.0013131987373589116,0.0,0.009546481656703687,0.00203156324373128,True,True,2,0.99,1e-08,0.0001,0.01,0.0001,0.1,1e-12,0.5,0.001
0.0011688724511180748,0.0011688724511180748,0.0,0.010880182179154985,0.0021417495466568635,True,True,2,0.99,1e-08,0.0001,0.0001,0.0001,0.2,1e-10,1.0,0.001
0.0011688724511180748,0.0011688724511180748,0.0,0.010880182179154985,0.0021417495466568635,True,True,2,0.99,1e-08,0.0001,0.0001,0.0001,0.2,1e-12,1.0,0.001
0.0011688724511180748,0.0011688724511180748,0.0,0.010880182179154985,0.0021417495466568635,True,True,2,0.99,1e-08,0.0001,0.0001,0.0001,0.1,1e-10,1.0,0.001
