iter,alpha,mu,phi,merit,eq_norm,ineq_norm,comp_inf,dual_inf,accept_code,linsys
0,1.0,3.831305610658352e-06,0.0012369140818509268,0.0018650086234528293,0.00010169273239973693,0.0011352213494511898,0.00035648183053179386,0.021273961955565305,1,5.617665935201955e-16
1,1.0,2.7506816410855495e-07,0.00016219891781483746,0.0003471041668593632,2.5223197250534705e-05,0.00013697572056430276,2.858230487482194e-07,1.6504058347549533e-05,1,5.2209219003773514e-18
2,0.917823341879893,1e-08,2.6591289476254114e-05,0.0001854022316677424,4.9274234116453755e-06,2.1663866064608737e-05,3.651699830319931e-08,2.4133994251821845e-06,1,4.400012352620013e-19
3,0.99999999,1e-08,2.281470966130687e-05,0.00894407720617658,6.702330464616836e-07,2.2144476614845186e-05,3.011174122370241e-09,9.131534167285496e-08,1,1.9283685046528914e-19
4,1.0,1e-08,2.1830834354666214e-05,0.0001811396521302487,1.0835018600811231e-07,2.17224841686581e-05,4.5069468271628296e-10,4.86656754923999e-09,1,3.3219603255978693e-20
5,1.0,1e-08,2.130669300065035e-05,0.0001805030814722967,3.4114253921350064e-08,2.1272578746729e-05,1.1551621560507217e-10,3.3577276094905097e-09,1,4.371782327668575e-21
6,1.0,1e-08,2.080728340705928e-05,0.0001799934309121911,2.444643983009485e-08,2.0782836967229185e-05,1.568203423616582e-10,3.2059876978662513e-09,1,1.03813273082145e-20
7,1.0,1e-08,2.0326638816457728e-05,0.00017951580982122298,2.2867974521667583e-08,2.030377084193606e-05,1.690314855708316e-10,3.0617005975864045e-09,1,6.80847105318882e-21
8,1.0,1e-08,1.9857925779667004e-05,0.00017905234131596607,2.2379959024598554e-08,1.9835545820642406e-05,1.7116913639392024e-10,2.9207649043761722e-09,1,6.59357082109192e-21
9,1.0,1e-08,1.9405741547753312e-05,0.00017860605438152241,2.207929851870554e-08,1.9383662249234605e-05,1.6198230310305756e-10,2.787278396816314e-09,1,9.241679429139403e-21
10,1.0,1e-08,1.897776300619944e-05,0.00017818450337541027,2.1841279569866627e-08,1.8955921726629572e-05,1.4008458619258778e-10,2.6636305190994676e-09,1,5.392700409139142e-21
11,1.0,1e-08,1.8581841811101313e-05,0.00017779557596708093,2.164386317703007e-08,1.8560197947924282e-05,1.0828454250322526e-10,2.551725440146156e-09,1,6.3337145994494984e-21
12,1.0,1e-08,1.8222156677125978e-05,0.0001774434729749494,2.147391701263572e-08,1.820068276011334e-05,7.380266464689362e-11,2.452220959631027e-09,1,9.165004987980803e-21
13,1.0,1e-08,1.789721780654221e-05,0.00017712667879355524,2.131594568393354e-08,1.7875901860858275e-05,4.7908584727940926e-11,2.364198944268211e-09,1,7.355581444960429e-21
14,1.0,1e-08,1.7601200753051416e-05,0.00017683930562368885,2.115501918082464e-08,1.7580045733870593e-05,3.305898404341299e-11,2.2855992092306104e-09,1,4.827918249745974e-21
15,1.0,1e-08,1.7326984912513657e-05,0.00017657415781212213,2.0980813199175593e-08,1.7306004099314482e-05,2.2187949843161973e-11,2.214201360090551e-09,1,6.201279743138661e-21
16,1.0,1e-08,1.7068404816484343e-05,0.00017632500222350726,2.0788838891309616e-08,1.7047615977593034e-05,1.9690706402105736e-11,2.148116587684162e-09,1,1.0662270217343377e-20
17,1.0,1e-08,1.682099549565886e-05,0.00017608731976568673,2.0579196002629758e-08,1.680041629965623e-05,1.756734521676284e-11,2.08597990311967e-09,1,6.011124193553985e-21
18,1.0,1e-08,1.658182984311227e-05,0.00017585814170433483,2.0354567114072313e-08,1.6561475275998197e-05,1.5748172010961906e-11,2.0269243011041037e-09,1,8.761348906410615e-21
19,1.0,1e-08,1.6349087634253192e-05,0.00017563561582804413,2.0118572431742397e-08,1.632896906182145e-05,1.4178881794262892e-11,1.9703580601956525e-09,1,4.893431798993839e-21
20,1.0,1e-08,1.6121658572630925e-05,0.00017541860686768378,1.9874775300546032e-08,1.6101783797330378e-05,1.2816671921103885e-11,1.915923012105994e-09,1,5.780337041525074e-21
21,1.0,1e-08,1.5898858682811663e-05,0.00017520641087702838,1.9626223978056872e-08,1.5879232458833607e-05,1.1627450430665049e-11,1.863377829830091e-09,1,5.7875032899716785e-21
22,1.0,1e-08,1.568025088160572e-05,0.00017499857435302775,1.937532391865924e-08,1.566087555768706e-05,1.0583801603422115e-11,1.8125649661206687e-09,1,1.0384498418129316e-20
23,1.0,1e-08,1.5465539148739978e-05,0.00017479478738553834,1.9123876693809048e-08,1.544641527204617e-05,9.663483396581188e-12,1.7633632295771702e-09,1,5.200894680171798e-21
24,1.0,1e-08,1.5254508647477505e-05,0.00017459482306728295,1.887318120229812e-08,1.5235635466275208e-05,8.8483039681419e-12,1.7156870119890795e-09,1,6.901580973493821e-21
25,1.0,1e-08,1.5046992571831131e-05,0.0001743985038476387,1.8624146883809254e-08,1.5028368424947321e-05,8.123272045072515e-12,1.6694384093987776e-09,1,6.096905584045413e-21
26,1.0,1e-08,1.4842853884247416e-05,0.00017420568292869407,1.837739277431173e-08,1.4824476491473103e-05,7.475947590364612e-12,1.6245713516571583e-09,1,9.757436965940204e-21
27,1.0,1e-08,1.4641975151476811e-05,0.00017401623386398106,1.8133328191757525e-08,1.4623841823285053e-05,6.895940676652409e-12,1.5810084315267007e-09,1,8.57226700750859e-21
28,1.0,1e-08,1.4444252735313185e-05,0.00017383004458492002,1.789221353272536e-08,1.442636052178046e-05,6.374521208708375e-12,1.5387181149330081e-09,1,9.541287138136875e-21
29,1.0,1e-08,1.4249593329753922e-05,0.00017364701382375656,1.7654205374074905e-08,1.4231939124379846e-05,5.9043123872174545e-12,1.4976416788707808e-09,1,7.722876210541365e-21
30,1.0,1e-08,1.4057911778474686e-05,0.00017346704885128718,1.741938857223132e-08,1.4040492389902456e-05,5.479048034089723e-12,1.457732164985388e-09,1,9.365641003702505e-21
31,1.0,1e-08,1.3869129610086167e-05,0.00017329006395622564,1.7187798990627683e-08,1.3851941811095539e-05,5.093379043695952e-12,1.4189577877623963e-09,1,5.168082869748506e-21
32,1.0,1e-08,1.3683173992437158e-05,0.00017311597935986203,1.6959439855967184e-08,1.366621455258119e-05,4.742717938391655e-12,1.3812638176112632e-09,1,4.3287286658406906e-21
33,1.0,1e-08,1.349997694328656e-05,0.00017294472039843127,1.6734292398238906e-08,1.3483242650888321e-05,4.423113209485607e-12,1.3446315336672864e-09,1,7.065262799621155e-21
34,1.0,1e-08,1.3319474709278028e-05,0.00017277621688130087,1.651232375027752e-08,1.3302962385527751e-05,4.13114710860187e-12,1.3090088060669974e-09,1,6.232712387458554e-21
35,1.0,1e-08,1.314160726103396e-05,0.00017261040257062903,1.6293492322437647e-08,1.3125313768711522e-05,3.863852027749425e-12,1.2743732326862952e-09,1,5.933600858636252e-21
